	time	open	high	low	close	volume	date	3_ema	25_sma	MACD	SIGNAL	HIST	HIST_ESMA
0	1617224400000.0	58935.1	59289.45	58700.0	58940.5	1671.199727	2021-03-31 21:00:00	58940.5		0.0	0.0	0.0	
1	1617228000000.0	58940.5	59009.85	58558.0	58621.94	1447.622712	2021-03-31 22:00:00	58728.12666666667		2.6546666666617966	1.3715777777752616	1.283088888886535	
2	1617231600000.0	58621.94	58895.2	58540.0	58740.55	1367.478622	2021-03-31 23:00:00	58735.22571428572		2.082995442833635	1.6246960214335724	0.45829942140006263	
3	1617235200000.0	58739.46	59240.07	58720.82	59221.95	1834.685608	2021-04-01 00:00:00	58994.812		-4.548319624074793	-0.07619473971459358	-4.472124884360199	
4	1617238800000.0	59221.95	59314.53	58931.43	59143.72	1518.676507	2021-04-01 01:00:00	59071.66774193548		-7.097750731831184	-1.6737687268595847	-5.423982004971599	
5	1617242400000.0	59139.74	59309.44	59014.9	59086.99	1220.337644	2021-04-01 02:00:00	59079.450476190475		-7.737557704109349	-2.8600535206996573	-4.877504183409692	
6	1617246000000.0	59086.99	59165.28	58941.56	59119.02	1307.393155	2021-04-01 03:00:00	59099.39102362205		-8.599491617678723	-3.8527267305614314	-4.746764887117291	
7	1617249600000.0	59119.02	59232.59	58622.0	58869.99	1695.238357	2021-04-01 04:00:00	58984.24070588235		-4.930917355581187	-4.020963196085373	-0.9099541594958138	
8	1617253200000.0	58869.99	58970.0	58660.65	58764.79	1547.236392	2021-04-01 05:00:00	58874.300626223085		-0.3931050337923807	-3.5023503509714966	3.109245317179116	
9	1617256800000.0	58764.79	59032.34	58659.02	58731.61	1408.450131	2021-04-01 06:00:00	58802.8855718475		3.5831604287668597	-2.5631257795772897	6.146286208344149	
10	1617260400000.0	58734.41	58937.37	58500.2	58817.77	2069.410493	2021-04-01 07:00:00	58810.33142159257		4.9715695273989695	-1.627985746857902	6.599555274256872	
11	1617264000000.0	58817.78	59490.0	58564.0	58839.7	3323.162872	2021-04-01 08:00:00	58825.01929670329		5.585606041138817	-0.7830521293739999	6.368658170512817	
12	1617267600000.0	58839.7	59256.42	58722.01	58820.19	2131.291897	2021-04-01 09:00:00	58822.60435355878		6.406154561613221	0.016934240774764697	6.389220320838456	
13	1617271200000.0	58820.19	58974.34	58500.0	58630.99	2801.287684	2021-04-01 10:00:00	58726.79132881645		10.803328015979787	1.1635840730591895	9.639743942920598	
14	1617274800000.0	58628.86	58695.99	58115.0	58584.32	3703.85432	2021-04-01 11:00:00	58655.55349040192		15.194035746782902	2.59526550627835	12.598770240504551	
15	1617278400000.0	58584.32	58740.86	58375.0	58730.06	1872.099775	2021-04-01 12:00:00	58692.80731364919		15.569567981692671	3.871293610253767	11.698274371438904	
