	time	open	high	low	close	volume	date	3_ema	25_sma	MACD	SIGNAL	HIST	HIST_ESMA	ADX
30	1617631200000.0	58113.07	59175.01	58113.06	59170.68	4931.302768	2021-04-05 14:00:00	58562.87078784262	57819.206	-24.786969050983316	14.197538285564054	-38.98450733654737	743.6647878426229	45.44807068344727
31	1617634800000.0	59173.64	59272.0	58850.0	59018.29	3402.24601	2021-04-05 15:00:00	58790.58039397433	57854.698	-54.08283481020044	9.20102440044404	-63.28385921064448	935.8823939743306	44.673101578666106
32	1617638400000.0	59020.0	59240.0	58853.14	58983.51	3483.467503	2021-04-05 16:00:00	58887.04519699839	57897.31399999999	-77.51103386982868	2.910225814602633	-80.4212596844313	989.7311969984003	43.987277239648265
33	1617642000000.0	58983.51	59078.69	58610.0	58954.6	2683.09487	2021-04-05 17:00:00	58920.82259850116	57934.2624	-96.01826110056572	-4.20966490900089	-91.80859619156483	986.5601985011599	42.23056771788
34	1617645600000.0	58954.6	59032.99	58732.08	58876.29	1600.890593	2021-04-05 18:00:00	58898.55629924993	57962.1528	-108.94868285045959	-11.691967306866946	-97.25671554359265	936.4034992499292	40.66281139280869
35	1617649200000.0	58876.3	59089.4	58800.0	59005.2	1834.250144	2021-04-05 19:00:00	58951.87814962574	57998.244000000006	-122.67533873764478	-19.56585248984969	-103.10948624779509	953.6341496257373	39.42486664875396
36	1617652800000.0	59005.21	59100.0	58737.7	58770.61	2148.099702	2021-04-05 20:00:00	58861.24407481221	58030.914	-127.15206681480049	-27.149952352086128	-100.00211446271436	830.3300748122128	37.987918140049295
37	1617656400000.0	58773.16	58880.0	58479.59	58664.04	1663.675369	2021-04-05 21:00:00	58762.64203740574	58056.4712	-127.25217487107875	-34.16455445862927	-93.08762041244948	706.1708374057416	35.466641931789
38	1617660000000.0	58664.04	58967.0	58664.04	58877.18	1717.467965	2021-04-05 22:00:00	58819.91101870298	58086.890799999994	-132.43322875392914	-41.01260852665844	-91.4206202272707	733.0202187029863	33.51782660726689
39	1617663600000.0	58877.18	59130.0	58533.1	59129.99	1873.069762	2021-04-05 23:00:00	58974.950509351635	58126.9216	-143.01061127990397	-48.083982973340056	-94.92662830656391	848.028909351633	32.32817528153797
40	1617667200000.0	59129.99	59479.0	59043.47	59356.23	3279.189201	2021-04-06 00:00:00	59165.5902546759	58173.0904	-157.3876116007741	-55.62555265875743	-101.76205894201668	992.4998546759016	32.263286742770475
41	1617670800000.0	59356.23	59495.24	58728.1	58800.01	2467.891456	2021-04-06 01:00:00	58982.80012733791	58208.765600000006	-153.0228990053438	-62.31565607503358	-90.7072429303102	774.0345273379062	30.91624773925138
42	1617674400000.0	58800.02	58868.96	58635.72	58745.27	1448.834443	2021-04-06 02:00:00	58864.03506366894	58247.06119999999	-146.86841891541553	-68.09934767727088	-78.76907123814465	616.9738636689508	29.34191321925611
43	1617678000000.0	58745.28	58947.35	58600.0	58608.7	1203.320036	2021-04-06 03:00:00	58736.36753183446	58287.5912	-136.91463651465892	-72.78831643117363	-64.1263200834853	448.7763318344587	28.14076156250127
