	time	open	high	low	close	volume	date	3_ema	25_sma	MACD	SIGNAL	HIST	HIST_ESMA	ADX
0	1621928100000.0	38766.38	38829.26	38627.49	38680.91	343.384059	2021-05-25 07:35:00	38680.91		0.0	0.0	0.0	0.0	0.0
1	1621928400000.0	38680.92	38847.4	38568.87	38704.67	337.203172	2021-05-25 07:40:00	38696.75		-0.19800000001123408	-0.10230000000580428	-0.0957000000054298	0.0	0.0
2	1621928700000.0	38704.68	38890.86	38688.0	38806.27	306.376274	2021-05-25 07:45:00	38759.33285714285		-1.4144367537737708	-0.5691505814093644	-0.8452861723644064	0.0	0.0
3	1621929000000.0	38806.27	38959.07	38748.49	38911.21	167.798796	2021-05-25 07:50:00	38840.334		-3.343702788668452	-1.3336408219426188	-2.010061966725833	0.0	0.0
4	1621929300000.0	38911.2	39050.0	38843.24	38985.06	245.120882	2021-05-25 07:55:00	38915.03129032258		-5.446446290145104	-2.2694036411190193	-3.177042649026085	0.0	0.0
5	1621929600000.0	38993.91	39110.0	38668.88	38758.84	455.079642	2021-05-25 08:00:00	38835.696031746025		-3.230048818499199	-2.4573387375541813	-0.7727100809450178	0.0	0.0
6	1621929900000.0	38749.81	38802.65	38524.47	38690.43	462.697589	2021-05-25 08:05:00	38762.4911023622		-0.6132659189534024	-2.1383943299086323	1.5251284109552299	0.0	0.0
7	1621930200000.0	38690.43	38891.63	38663.88	38698.91	323.494643	2021-05-25 08:10:00	38730.57588235294		1.0813027257972863	-1.636005939451351	2.7173086652486376	0.0	0.0
8	1621930500000.0	38698.77	38731.88	38343.05	38443.25	484.112223	2021-05-25 08:15:00	38586.63180039139		6.760770591958135	-0.4356623835755828	7.1964329755337175	0.0	0.0
9	1621930800000.0	38443.25	38579.68	38364.71	38391.84	469.084434	2021-05-25 08:20:00	38489.140694037145		11.853862218333234	1.1933836846166384	10.660478533716596	0.0	0.0
10	1621931100000.0	38391.84	38541.83	38381.06	38538.84	222.66697	2021-05-25 08:25:00	38514.00248656571		12.89250207778241	2.645375239848283	10.247126837934127	0.0	0.0
11	1621931400000.0	38536.95	38584.21	38363.45	38443.99	311.987548	2021-05-25 08:30:00	38478.987694749696		15.405202578716853	4.139943741747703	11.26525883696915	0.0	0.0
12	1621931700000.0	38441.94	38526.36	38200.72	38246.95	344.611489	2021-05-25 08:35:00	38362.954683188866		21.11465180268715	6.028821843281488	15.085829959405661	0.0	0.0
13	1621932000000.0	38246.95	38315.71	38133.18	38174.95	421.99124	2021-05-25 08:40:00	38268.94660379662		26.920850065987906	8.249753246019235	18.67109681996867	0.0	100.0
14	1621932300000.0	38175.01	38300.0	38026.54	38073.75	388.875738	2021-05-25 08:45:00	38171.34532334361		33.44041234766337	10.820233496054223	22.620178851609147	0.0	100.0
15	1621932600000.0	38069.01	38190.0	38040.0	38148.61	342.53114	2021-05-25 08:50:00	38159.977488212404		36.88656361358153	13.38386802365171	23.50269558992982	0.0	100.0
16	1621932900000.0	38139.9	38216.0	38052.81	38138.06	236.281783	2021-05-25 08:55:00	38149.018660496986		39.652501734002726	15.88284797853753	23.769653755465196	0.0	91.29209921538207
17	1621933200000.0	38138.07	38200.01	38051.36	38070.76	345.553996	2021-05-25 09:00:00	38109.88918098137		43.10514778162178	18.395621794675254	24.709525986946527	0.0	86.15476509796369
18	1621933500000.0	38069.94	38178.59	38048.4	38166.43	215.765853	2021-05-25 09:05:00	38138.15964441231		43.5289452507277	20.652843892905207	22.876101357822495	0.0	82.87408515430016
19	1621933800000.0	38166.44	38248.99	38075.24	38125.52	350.256649	2021-05-25 09:10:00	38131.8398161791		44.51612993636809	22.743132661509723	21.772997274858366	0.0	69.53509759136828
20	1621934100000.0	38125.34	38128.93	37873.0	38018.54	608.300125	2021-05-25 09:15:00	38075.18988107676		47.4928706309438	24.86216610189405	22.630704529049748	0.0	67.50037819577335
21	1621934400000.0	38018.55	38259.91	38008.07	38159.13	371.248813	2021-05-25 09:20:00	38117.15995054482		46.38836705311405	26.667116805103724	19.721250248010328	0.0	59.72152776953036
22	1621934700000.0	38159.14	38159.14	37927.38	37981.81	290.895025	2021-05-25 09:25:00	38049.484967204924		49.35865866687527	28.53369387555791	20.824964791317363	0.0	55.40188358215007
23	1621935000000.0	37981.81	38138.42	37751.15	37773.81	595.041164	2021-05-25 09:30:00	37911.64747538671		56.49094507779955	30.793329647393733	25.69761543040582	0.0	54.30116062957529
24	1621935300000.0	37779.01	37942.45	37773.26	37900.0	514.448078	2021-05-25 09:35:00	37905.82373751979	38361.3016	59.031233149893524	33.039025021866806	25.992208128026718	-455.47786248020566	53.392980336954146
25	1621935600000.0	37902.63	38045.81	37867.47	38038.3	231.465966	2021-05-25 09:40:00	37972.061869746925	38335.5972	57.39831894969393	34.94761262884984	22.45070632084409	-363.53533025307115	50.055443681193324
26	1621935900000.0	38036.4	38079.96	37888.96	37991.69	207.312507	2021-05-25 09:45:00	37981.87593494658	38307.078	56.834773687514826	36.63910246155579	20.19567122595904	-325.20206505341775	46.49020504036862
27	1621936200000.0	37991.68	38000.0	37857.11	37923.48	269.450717	2021-05-25 09:50:00	37952.67796736452	38271.7664	57.72490147127246	38.24812023067726	19.4767812405952	-319.08843263547897	43.89152251498087
28	1621936500000.0	37923.47	37999.04	37880.31	37932.87	202.891967	2021-05-25 09:55:00	37942.773983663814	38232.6328	57.88090135681705	39.72880075318658	18.152100603630466	-289.85881633618555	41.648063084006196
29	1621936800000.0	37932.86	37937.15	37611.47	37624.15	493.796872	2021-05-25 10:00:00	37783.461991683536	38178.1964	65.56544443676103	41.656353611594824	23.909090825166203	-394.7344083164644	42.29613605000197
30	1621937100000.0	37617.31	37617.31	37339.0	37398.92	1110.035628	2021-05-25 10:05:00	37591.19099575223	38123.7996	77.45176453984459	44.30020962529498	33.15155491454961	-532.6086042477691	44.1678980477747
31	1621937400000.0	37396.67	37437.46	37200.0	37257.21	927.165693	2021-05-25 10:10:00	37424.20049783723	38066.4708	90.68237380257051	47.69429077667711	42.9880830258934	-642.2703021627749	46.25751465280729
32	1621937700000.0	37257.2	37408.16	37062.0	37396.13	798.453603	2021-05-25 10:15:00	37410.16524891699	38014.359599999996	97.61790045359521	51.316155825443026	46.301744628152186	-604.1943510830097	48.44444047637428
33	1621938000000.0	37395.17	37551.32	37300.0	37322.51	500.929814	2021-05-25 10:20:00	37366.33762445594	37969.53	104.82648613234778	55.16729836536472	49.65918776698306	-603.1923755440585	48.76230497044618
34	1621938300000.0	37326.78	37382.37	37150.99	37230.39	529.498688	2021-05-25 10:25:00	37298.36381222599	37923.072	112.73642981430748	59.27989803213119	53.45653178217629	-624.7081877740129	49.501086230110914
